trade_date,symbol,1. open,2. high,3. low,4. close,5. volume
2019-07-29,SHOP.TRT,445.1500,445.1500,413.0000,420.4700,4275000
2019-07-26,SHOP.TRT,441.3900,446.7700,438.6000,442.9900,1959000
2019-07-25,SHOP.TRT,434.5000,445.4800,430.6900,438.7900,2343000
2019-07-24,SHOP.TRT,433.7600,435.9000,425.5600,433.3400,1948000
2019-07-23,SHOP.TRT,443.8700,446.0000,432.0000,434.0000,2320000
2019-07-22,SHOP.TRT,434.1800,446.5000,433.9700,439.4600,1858000
2019-07-19,SHOP.TRT,435.1500,442.9900,430.6100,431.0500,2121000
2019-07-18,SHOP.TRT,424.3800,434.5000,422.4800,431.4300,2440000
2019-07-17,SHOP.TRT,417.9400,439.6300,416.5800,424.6500,3246000
2019-07-16,SHOP.TRT,422.6000,423.3300,411.7200,415.6000,1936000
2019-07-15,SHOP.TRT,403.7400,423.1000,399.0000,422.8000,2192000
2019-07-12,SHOP.TRT,410.9600,411.7700,395.1000,404.0600,2368000
2019-07-11,SHOP.TRT,416.8600,417.9200,411.1900,411.2100,1712000
2019-07-10,SHOP.TRT,425.0500,427.1000,416.5900,417.2400,2208000
2019-07-09,SHOP.TRT,423.2100,426.0000,419.3600,422.7400,2917000
2019-07-08,SHOP.TRT,409.8000,431.4900,408.8000,421.4700,3247000
2019-07-05,SHOP.TRT,408.3300,410.5900,398.4000,410.5900,2741000
2019-07-04,SHOP.TRT,411.0100,414.9900,409.3300,414.0400,525000
2019-07-03,SHOP.TRT,408.6300,416.1900,405.7000,410.3500,1910000
2019-07-02,SHOP.TRT,399.2100,412.1800,399.2100,409.2000,2225000
2019-06-28,SHOP.TRT,397.7200,398.2900,383.0900,393.5800,2613000
2019-06-27,SHOP.TRT,379.4600,396.2600,379.4500,394.6600,2827000
2019-06-26,SHOP.TRT,380.0000,388.4700,370.4500,379.4500,3222000
2019-06-25,SHOP.TRT,402.9000,407.3100,371.4000,373.7900,4564000
2019-06-24,SHOP.TRT,427.8100,428.3100,410.3000,410.7000,3194000
2019-06-21,SHOP.TRT,432.8000,437.5700,428.5000,431.5000,7194000
2019-06-20,SHOP.TRT,438.1300,446.4000,430.0600,433.0200,4018000
2019-06-19,SHOP.TRT,409.2400,435.3700,403.9800,434.9500,4560000
2019-06-18,SHOP.TRT,415.7500,417.6000,406.8100,407.1900,2201000
2019-06-17,SHOP.TRT,408.9400,412.3300,406.1000,410.5300,2060000
2019-06-14,SHOP.TRT,408.3900,410.2300,404.0000,409.1500,2289000
2019-06-13,SHOP.TRT,417.2300,418.0400,407.5000,409.6900,2498000
2019-06-12,SHOP.TRT,405.2000,417.0000,402.0500,413.9000,2507000
2019-06-11,SHOP.TRT,411.9200,413.1100,397.0900,407.4900,2950000
2019-06-10,SHOP.TRT,408.7000,418.1500,404.1100,407.3500,3230000
2019-06-07,SHOP.TRT,398.0400,410.5500,397.2100,405.6900,3867000
2019-06-06,SHOP.TRT,392.1500,399.5000,387.0800,397.4600,3353000
2019-06-05,SHOP.TRT,372.8300,393.0000,371.2600,392.2400,4652000
2019-06-04,SHOP.TRT,361.6400,367.9500,354.7300,367.9500,4538000
2019-06-03,SHOP.TRT,371.8500,374.4300,352.6300,355.8400,4351000
2019-05-31,SHOP.TRT,369.8800,376.9900,368.2500,371.8400,2015000
2019-05-30,SHOP.TRT,370.8900,375.0000,365.1700,374.0600,1816000
2019-05-29,SHOP.TRT,377.7500,378.8000,365.8400,367.8500,2909000
2019-05-28,SHOP.TRT,376.1600,385.3500,375.0000,381.4200,7167000
2019-05-27,SHOP.TRT,373.0000,376.2300,372.8000,376.2300,996000
2019-05-24,SHOP.TRT,369.5600,374.8800,366.5000,370.7300,2209000
2019-05-23,SHOP.TRT,370.0000,374.6250,361.8500,365.8700,2635000
2019-05-22,SHOP.TRT,364.2300,376.2300,363.2300,373.5400,2855000
2019-05-21,SHOP.TRT,366.0300,366.8600,361.4800,365.9400,2730000
2019-05-17,SHOP.TRT,372.4000,377.0000,366.3200,368.0500,3018000
2019-05-16,SHOP.TRT,356.8100,376.0000,356.0100,374.4900,4837000
2019-05-15,SHOP.TRT,338.1100,356.3500,338.1100,355.0100,2487000
2019-05-14,SHOP.TRT,330.4000,342.0800,326.6900,340.8700,3704000
2019-05-13,SHOP.TRT,333.7900,340.0200,329.8400,337.7800,3871000
2019-05-10,SHOP.TRT,349.2800,351.9100,339.5100,347.2700,4194000
2019-05-09,SHOP.TRT,350.0000,352.1600,343.1000,350.2000,2543000
2019-05-08,SHOP.TRT,348.0000,356.0000,347.0000,352.6700,2606000
2019-05-07,SHOP.TRT,354.0000,358.6000,343.5700,348.0700,3417000
2019-05-06,SHOP.TRT,346.5800,358.4400,344.1000,357.1400,3755000
2019-05-03,SHOP.TRT,348.9500,357.5400,342.4800,354.8600,3086000
2019-05-02,SHOP.TRT,331.9000,350.9800,330.4300,343.8500,6758000
2019-05-01,SHOP.TRT,325.9500,338.4000,318.8800,331.0000,4649000
2019-04-30,SHOP.TRT,304.0000,332.7600,304.0000,325.7500,5542000
2019-04-29,SHOP.TRT,302.3200,307.6500,301.2500,303.0400,2249000
2019-04-26,SHOP.TRT,296.2100,303.1300,295.5000,299.1000,2730000
2019-04-25,SHOP.TRT,297.7700,299.7500,292.4800,295.3700,1773000
2019-04-24,SHOP.TRT,301.6000,301.8100,294.7200,296.3300,2402000
2019-04-23,SHOP.TRT,302.1000,305.1100,298.2800,299.7900,2809000
2019-04-22,SHOP.TRT,293.2500,301.4900,293.2500,299.4900,2036000
2019-04-18,SHOP.TRT,289.8400,295.4500,285.6000,295.4500,2440000
2019-04-17,SHOP.TRT,288.5400,291.2100,281.8800,289.5300,1936000
2019-04-16,SHOP.TRT,294.1900,296.2100,285.4400,287.4800,2726000
2019-04-15,SHOP.TRT,286.5600,294.1900,284.2400,291.6700,2486000
2019-04-12,SHOP.TRT,284.7000,286.5000,282.8900,286.4700,3946000
2019-04-11,SHOP.TRT,277.8200,282.9300,276.0400,282.1700,2637000
2019-04-10,SHOP.TRT,272.1000,276.1000,270.6300,275.1500,2396000
2019-04-09,SHOP.TRT,264.5200,272.0500,262.2700,271.8200,3804000
2019-04-08,SHOP.TRT,262.2400,267.3900,260.8300,266.4200,2646000
2019-04-05,SHOP.TRT,261.4600,265.0000,260.8300,263.5600,2392000
2019-04-04,SHOP.TRT,273.7100,273.7100,254.2300,260.2500,5800000
2019-04-03,SHOP.TRT,270.3300,274.1000,265.2000,273.7000,3426000
2019-04-02,SHOP.TRT,275.2500,275.2500,264.5000,268.8400,4048000
2019-04-01,SHOP.TRT,278.9100,280.2600,271.5000,274.3800,2498000
2019-03-29,SHOP.TRT,275.2000,277.2900,271.9300,275.8600,2166000
2019-03-28,SHOP.TRT,268.8700,273.8400,264.6400,273.5400,2894000
2019-03-27,SHOP.TRT,276.3500,276.3800,264.0000,268.3700,3481000
2019-03-26,SHOP.TRT,273.4900,277.4800,271.5100,273.5300,3972000
2019-03-25,SHOP.TRT,265.8200,271.9000,264.0000,269.9000,3296000
2019-03-22,SHOP.TRT,274.0100,274.3400,266.4400,267.0200,4621000
2019-03-21,SHOP.TRT,265.9500,274.5000,265.2600,274.0000,3165000
2019-03-20,SHOP.TRT,267.4500,270.7200,265.0000,267.4800,3623000
2019-03-19,SHOP.TRT,276.3600,276.3600,262.5300,268.7700,5397000
2019-03-18,SHOP.TRT,272.7000,274.9200,268.8700,274.9200,4222000
2019-03-15,SHOP.TRT,278.6500,279.5700,271.7400,273.4200,58294000
2019-03-14,SHOP.TRT,272.9900,279.3800,271.2100,277.2900,4682000
2019-03-13,SHOP.TRT,272.5000,275.5000,269.9400,273.3800,4523000
2019-03-12,SHOP.TRT,268.4600,272.6100,264.2400,270.5200,4478000
2019-03-11,SHOP.TRT,256.9000,269.3500,256.6800,268.4600,5905000
2019-03-08,SHOP.TRT,245.1300,254.7400,243.0000,254.3600,3279000
2019-03-07,SHOP.TRT,251.0500,255.3000,248.4100,251.9300,2036000
2019-03-06,SHOP.TRT,251.8000,252.9000,247.5400,251.9500,2444000
2019-03-05,SHOP.TRT,248.2100,252.6800,245.9800,250.9200,2108000
2019-03-04,SHOP.TRT,255.5500,259.3900,243.1700,248.2100,3260000
2019-03-01,SHOP.TRT,252.0000,256.3500,250.3300,254.7100,2376000
2019-02-28,SHOP.TRT,248.9500,252.0000,247.1200,249.2800,2954000
2019-02-27,SHOP.TRT,243.9600,248.9700,242.7400,248.8700,1881000
2019-02-26,SHOP.TRT,246.8600,248.2000,242.5200,244.1400,2272000
2019-02-25,SHOP.TRT,244.9900,248.7400,242.6800,247.7300,2336000
2019-02-22,SHOP.TRT,237.6300,241.4700,236.8900,241.4700,1830000
2019-02-21,SHOP.TRT,236.9700,238.2500,233.7400,236.1600,2143000
2019-02-20,SHOP.TRT,241.0400,242.6000,233.5600,236.3500,2332000
2019-02-19,SHOP.TRT,237.0300,245.5000,235.5000,239.7500,3262000
2019-02-15,SHOP.TRT,235.0300,236.6800,230.3600,236.0500,2231000
2019-02-14,SHOP.TRT,227.0000,235.5100,226.0500,234.3900,2567000
2019-02-13,SHOP.TRT,235.5400,238.1800,226.4000,227.5300,2689000
